channel_id,channel,uploader_url,id,url,title,duration,view_count,candidate_name,quality
UCz489cQmrgH57sShDiatwfw,El Peluca Milei,https://www.youtube.com/@ElPelucaMilei,gEMrSKprDcI,https://www.youtube.com/watch?v=gEMrSKprDcI,MILEI TOTALMENTE SACADO MANDÓ A LA MIERD# A PERIODSTA ZURDO,4600.0,138559,milei,high
UCz489cQmrgH57sShDiatwfw,El Peluca Milei,https://www.youtube.com/@ElPelucaMilei,D9QneyM-RUc,https://www.youtube.com/watch?v=D9QneyM-RUc,MILEI LE RESPONDIÓ A CRISTINA KIRCHNER TRAS SU DISCURSO,3794.0,192002,milei,high
UCz489cQmrgH57sShDiatwfw,El Peluca Milei,https://www.youtube.com/@ElPelucaMilei,qwYz0jO_x24,https://www.youtube.com/watch?v=qwYz0jO_x24,MILEI EXPLOTÓ CONTRA TODOS PRESIDENTES Y LES DIJO DE TODO EN LA CARA,3399.0,156308,milei,high
UCz489cQmrgH57sShDiatwfw,El Peluca Milei,https://www.youtube.com/@ElPelucaMilei,2HSUKaFwtw8,https://www.youtube.com/watch?v=2HSUKaFwtw8,MILEI ESTALLÓ EN PLENO DISCURSO Y NADIE PUEDE CREER LO QUE ANUNCIÓ,1001.0,159635,milei,high
UCz489cQmrgH57sShDiatwfw,El Peluca Milei,https://www.youtube.com/@ElPelucaMilei,Lr0sTv42FZo,https://www.youtube.com/watch?v=Lr0sTv42FZo,MILEI PUSO LOS HUEVOS ANTE TODOS LOS EMPRESARIOS Y SE FUE OVACIONADO,4118.0,222319,milei,high
UCz489cQmrgH57sShDiatwfw,El Peluca Milei,https://www.youtube.com/@ElPelucaMilei,v4kMHJA0Vls,https://www.youtube.com/watch?v=v4kMHJA0Vls,MILEI EXPLOTÓ CON PERIODISTA YANKEE EN PLENA ENTREVISTA,3315.0,251760,milei,high
UCz489cQmrgH57sShDiatwfw,El Peluca Milei,https://www.youtube.com/@ElPelucaMilei,vtr_vPVcg8c,https://www.youtube.com/watch?v=vtr_vPVcg8c,MILEI SE FUE OVACIONADO EN UNIVERSIDAD DE ESTADOS UNIDOS,4388.0,159279,milei,high
UCz489cQmrgH57sShDiatwfw,El Peluca Milei,https://www.youtube.com/@ElPelucaMilei,A18hBunM74E,https://www.youtube.com/watch?v=A18hBunM74E,MILEI PUSO LOS HUEVOS ANTE TODOS LOS EMPRESARIOS Y DIO EL DISCURSO DE SU VIDA,4160.0,488384,milei,high
UCz489cQmrgH57sShDiatwfw,El Peluca Milei,https://www.youtube.com/@ElPelucaMilei,hYSqsKrUYtY,https://www.youtube.com/watch?v=hYSqsKrUYtY,MILEI DESBURRÓ A PERIODISTA ZURDO DE ESTADOS UNIDOS,2238.0,540449,milei,high
UCz489cQmrgH57sShDiatwfw,El Peluca Milei,https://www.youtube.com/@ElPelucaMilei,82ouEyAkGrI,https://www.youtube.com/watch?v=82ouEyAkGrI,MILEI DIO EL DISCURSO DE SU VIDA ANTE TODOS EMPRESARIOS,3289.0,457242,milei,high
